id,hero_cid,default_super_common_skill_index,fight_value,max_hp,max_mp,min_attack,max_attack,defend,physc_def,magic_def,hit,dehit,crit,decrit,mp_recover,damage_add,damage_minus,defend_ignore_level,speed,crit_permillage,dehit_permillage,damage_add_target_wu_jiang,damage_add_target_gong_jiang,damage_add_target_mou_shi,damage_minus_target_wu_jiang,damage_minus_target_gong_jiang,damage_minus_target_mou_shi,effect_chance_permillage,true_damage_add,treat_add,shield,damage_add_array,damage_minus_array,damage_add_tag_match,treat_add_tag_match,magic_damage_add,magic_damage_minus,physc_damage_add,physc_damage_minus,skill_damage_add,skill_damage_minus,normal_skill_damage_add,be_treat_add,be_shield_add,base_attribute_add,ignore_damage_minus,be_boost_skill_effect_add,be_damage_add,anger_add_efficiency,anger_skill_damage_add,anger_skill_damage_minus,attack_add,hp_add,hit_add,defend_add,decrit_add,dehit_add,crit_add,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,physc_def_add,magic_def_add,debuff_resist,hp_recover,bounce_rate,exp_add,coin_add,high_quality_rate,all_def_ignore,charm,crit_damage_ignore,ignorel_resist,is_advance,is_super,is_mr,is_incarnation,skin_cid
1,2041,,430132384,50673940,8300,6286832,8203572,1532143,2488809,2325752,750675,213523,1954088,1604005,1027,0,0,1079969,1770,0,0,0,0,0,0,150,0,0,0,0,0,100,100,0,0,0,100,200,0,0,100,0,200,200,50,0,0,0,0,0,0,1958,1612,0,180,300,0,600,780,300,2200,0,0,300,300,450,60,450,0,0,0,3550,2040,0,0,0,0,0,0,100041000
2,2035,,678820416,50673940,8300,4077043,5682785,1744156,4184301,3811203,1101186,312962,1628031,1741158,1243,50,0,1079969,2840,0,0,0,0,0,0,150,0,0,0,0,0,100,100,0,0,0,100,200,0,0,100,0,200,200,50,0,0,0,0,0,0,4502,5320,0,530,400,0,600,2055,450,2200,0,0,550,400,550,0,300,0,0,0,3550,9500,250,0,0,0,0,0,100035000
3,2040,,442725536,50673940,8300,4077043,5682785,1744156,4184301,3811203,1101186,312962,1628031,1741158,1243,50,0,1079969,2840,0,0,0,0,0,0,150,0,0,0,0,0,100,100,0,0,0,100,200,0,0,100,0,200,200,50,0,0,0,0,0,0,4502,5320,0,530,400,0,600,2055,450,2200,0,0,550,400,550,0,300,0,0,0,3550,9500,250,0,0,0,0,0,100040000
4,2032,,580179392,50673940,8300,4077043,5682785,1744156,4184301,3811203,1101186,312962,1628031,1741158,1243,50,0,1079969,2840,0,0,0,0,0,0,150,0,0,0,0,0,100,100,0,0,0,100,200,0,0,100,0,200,200,50,0,0,0,0,0,0,4502,5320,0,530,400,0,600,2055,450,2200,0,0,550,400,550,0,300,0,0,0,3550,9500,250,0,0,0,0,0,100032000
5,2031,,611672064,40150975,8300,4939566,6801257,1501912,2309642,3073406,1013024,298958,2414918,1669694,1243,1200,0,1163044,2744,0,0,150,0,0,0,0,0,0,300,0,0,100,100,0,0,150,0,0,200,150,0,300,0,0,0,0,0,0,0,0,0,3520,3471,0,430,400,0,600,2155,750,2200,0,0,400,300,450,0,300,0,0,0,3550,4240,150,0,0,0,0,0,100031000
6,2026,,43331264,43915880,8300,4574589,6344889,1937952,2930974,3061228,1055874,312906,1627750,1740877,1272,50,0,1079969,2801,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,4251,3640,0,930,450,0,600,780,360,2200,0,0,440,450,1150,0,300,0,0,0,3550,5130,250,0,0,0,0,0,100026000
7,2039,,740339712,38855722,8300,4519737,6235185,1453464,3254490,3174719,1013022,312952,2207376,1669690,1215,50,0,1079969,3077,0,0,0,0,0,0,0,150,0,0,1250,0,100,100,0,0,0,200,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3256,3835,0,330,450,150,600,1580,570,2200,0,0,400,400,550,0,300,0,0,0,3550,4640,250,0,0,0,0,0,102039000
8,2053,,921807511,53105485,8300,5333877,7384684,1695708,2474407,2253169,1056096,298983,2103486,1669820,1215,450,0,1163044,2748,0,0,0,150,0,0,0,0,0,0,0,0,100,100,0,0,0,100,150,100,150,0,300,0,0,0,100,0,0,0,0,0,4218,3471,150,330,400,0,600,1480,520,2200,0,0,400,400,450,0,300,0,0,0,3550,4590,350,0,0,0,0,0,102053000
9,2060,,807672921,73825872,8300,3968550,5474797,1453464,2729572,2867488,1013022,312952,1697982,1669690,1215,500,0,1079969,2816,0,0,0,0,0,0,0,150,100,0,0,0,100,100,0,0,0,200,0,100,0,100,0,0,0,0,0,0,0,0,0,0,3179,4907,0,330,450,150,600,780,450,2200,0,0,400,400,450,0,300,0,0,0,3550,4680,450,0,0,0,0,0,102060000
10,2047,0|1|1|1|2|0,2062588160,66054779,8300,3333573,4615227,1259668,2811658,2253028,1056015,298958,1558010,1669692,1215,50,100,1079969,2777,0,0,0,0,0,0,150,0,0,0,0,0,100,100,0,0,0,100,200,0,0,200,0,0,0,0,0,0,0,0,0,0,2928,5023,0,380,400,0,600,1380,670,2200,0,0,550,400,450,322,800,0,0,0,3550,4680,250,0,1,1,1,0,102047368
11,2039,0|0|2|2|3|0,2524815104,33676415,8300,6222829,8615409,1259668,3261689,3072477,1056084,298980,2181368,1669802,1215,0,0,1163044,2811,500,0,0,150,0,0,0,0,0,0,0,0,100,100,0,0,0,100,150,100,150,0,300,0,0,0,0,0,0,0,0,0,3564,3731,150,330,400,0,600,3565,400,2200,0,0,400,400,450,0,300,0,0,0,3550,4600,350,0,1,1,1,0,102039368
12,2063,0|1|1|3|1|0,1333974528,50501636,8300,3841372,5288841,1405015,2938763,3072585,1012689,298846,1557454,1669136,1243,50,0,1079969,2730,0,0,0,0,0,150,0,0,1350,0,900,0,100,100,0,0,50,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3069,4452,0,480,450,0,600,780,300,2200,0,0,440,450,550,0,300,0,0,0,3550,4100,450,0,1,1,1,0,102063368
13,2051,0|1|1|1|2|0,1851075328,69934306,8300,2853818,3929308,1937952,3988953,3182828,1012888,298913,1557786,1669468,1243,50,0,1079969,2932,0,0,0,0,0,150,0,0,850,0,0,0,100,100,0,0,50,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,2794,4342,0,480,450,0,600,780,300,2200,0,0,400,450,450,0,300,0,0,0,3550,3600,250,0,1,1,1,0,102051368
14,2081,0|0|2|2|3|0,1706994432,33672073,8300,6555678,9075916,1744156,3261181,2969576,1055874,298913,1947232,1669468,1215,0,0,1163044,2766,0,0,0,150,0,0,0,0,0,750,0,0,100,100,0,0,0,100,150,100,150,0,300,0,0,0,0,0,0,0,0,0,3949,3042,150,330,400,0,600,1655,570,2200,0,0,400,400,450,0,300,0,0,0,3550,3600,350,0,1,1,0,0,102081300
15,2056,0|0|2|2|3|0,3357674496,32741702,8300,4118856,5638614,1598810,2737324,2671320,969808,298180,1624120,1597901,1186,0,0,1163044,2668,0,0,0,0,150,0,0,0,0,0,0,0,100,100,0,0,0,100,100,100,150,0,300,0,0,0,0,0,0,0,0,0,3701,3237,0,330,400,150,750,4115,500,2200,0,0,300,400,450,0,300,0,0,0,3550,3150,150,0,1,1,1,0,102056368
16,2086,0|0|2|2|3|0,1441724544,46626723,8300,5607722,7717623,1259668,3044511,3183153,1013017,298956,2414900,1669682,1243,450,0,1163044,3028,0,0,150,0,0,0,0,0,0,0,0,0,100,100,0,0,150,0,0,200,150,0,300,0,0,0,0,0,0,0,0,0,3366,3341,0,430,400,0,675,1180,850,2200,0,0,400,300,450,0,300,0,0,0,3550,4140,150,0,1,1,1,0,102086368
17,2049,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,0,102049368
18,2047,,740339712,73825872,8300,3968550,5474797,1453464,2729572,2867488,1013022,312952,1697982,1669690,1215,500,0,1079969,2816,0,0,0,0,0,0,0,150,100,0,0,0,100,100,0,0,0,200,0,100,0,100,0,0,0,0,0,0,0,0,0,0,3179,4907,0,330,450,150,600,780,450,2200,0,0,400,400,450,0,300,0,0,0,3550,4680,450,0,0,0,0,0,102047000
19,2037,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102037388
20,2049,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102049388
21,2053,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102053388
22,2060,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102060388
23,2077,0|1|1|3|1|0,3903405312,66548012,8300,4240214,5881332,1453464,3040021,3288523,1056085,312976,1628102,1741229,1272,50,0,1079969,2815,0,0,0,0,0,150,0,0,0,0,0,0,100,100,0,0,50,100,0,100,0,100,0,200,200,50,0,0,0,0,0,0,3256,4803,0,480,450,0,600,780,300,2200,0,0,440,450,1100,0,300,0,0,0,3550,4140,250,0,1,1,1,1,102077388
